session_key,ts,category,flag,scope,sector,lap_number,driver_id,message
9685,2025-02-28 17:38:47+02,Flag,CLEAR,Sector,2,,,CLEAR IN TRACK SECTOR 2
9685,2025-02-28 18:00:00+02,Flag,CHEQUERED,Track,,,,CHEQUERED FLAG
9685,2025-02-28 18:00:00.111+02,SessionStatus,,,,,,SESSION FINISHED
9685,2025-02-28 18:00:08+02,Other,,,,,,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER)
9686,2025-03-14 03:30:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9686,2025-03-14 03:30:00.187+02,SessionStatus,,,,,,SESSION STARTED
9686,2025-03-14 03:48:30.76+02,SessionStatus,,,,,,SESSION ABORTED
9686,2025-03-14 03:48:31+02,Flag,RED,Track,,,,RED FLAG
9686,2025-03-14 03:53:58+02,Other,,,,,,SESSION WILL RESUME AT 12:55
9686,2025-03-14 03:54:03+02,Flag,CLEAR,Track,,,,TRACK CLEAR
9686,2025-03-14 03:54:05+02,Drs,,,,,,DRS ENABLED
9686,2025-03-14 03:55:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9686,2025-03-14 03:55:00.174+02,SessionStatus,,,,,,SESSION STARTED
9686,2025-03-14 03:58:51+02,Flag,DOUBLE YELLOW,Sector,3,,,DOUBLE YELLOW IN TRACK SECTOR 3
9686,2025-03-14 03:58:52+02,Other,,,,,,DRS DISABLED IN ZONE 4
9686,2025-03-14 03:58:54+02,Flag,CLEAR,Sector,3,,,CLEAR IN TRACK SECTOR 3
9686,2025-03-14 03:58:54+02,Other,,,,,,DRS ENABLED IN ZONE 4
9686,2025-03-14 04:07:25.756+02,SessionStatus,,,,,,SESSION ABORTED
9686,2025-03-14 04:07:26+02,Flag,RED,Track,,,,RED FLAG
9686,2025-03-14 04:18:00+02,Other,,,,,,SESSION WILL RESUME AT13:19
9686,2025-03-14 04:18:06+02,Flag,CLEAR,Track,,,,TRACK CLEAR
9686,2025-03-14 04:18:07+02,Drs,,,,,,DRS ENABLED
9686,2025-03-14 04:19:00+02,Flag,GREEN,Track,,,,GREEN LIGHT - PIT EXIT OPEN
9686,2025-03-14 04:19:00.179+02,SessionStatus,,,,,,SESSION STARTED
9686,2025-03-14 04:29:14+02,Flag,YELLOW,Sector,6,,,YELLOW IN TRACK SECTOR 6
9686,2025-03-14 04:29:26+02,Flag,CLEAR,Sector,6,,,CLEAR IN TRACK SECTOR 6
9686,2025-03-14 04:30:00+02,Flag,CHEQUERED,Track,,,,CHEQUERED FLAG
9686,2025-03-14 04:30:00.192+02,SessionStatus,,,,,,SESSION FINISHED
9686,2025-03-14 04:30:12+02,Other,,,,,,FIRST CAR TO TAKE THE FLAG - CAR 1 (VER)
9686,2025-03-14 04:36:05+02,Flag,DOUBLE YELLOW,Sector,5,,,DOUBLE YELLOW IN TRACK SECTOR 5
9686,2025-03-14 04:36:06+02,Other,,,,,,DRS DISABLED IN ZONE 4
9686,2025-03-14 04:36:07+02,Other,,,,,,DRS ENABLED IN ZONE 4
9686,2025-03-14 04:36:07+02,Flag,CLEAR,Sector,5,,,CLEAR IN TRACK SECTOR 5
9686,2025-03-14 04:36:21+02,Flag,DOUBLE YELLOW,Sector,5,,,DOUBLE YELLOW IN TRACK SECTOR 5
