session_key,driver_id,driver_number,position,points,number_of_laps,dnf,dns,dsq,duration_s,gap_to_leader_s,laps_down,q1_s,q2_s,q3_s,gap_raw
9850,7,12,5,10.00,57,f,f,f,5106.558,28.317,,,,,28.317
9850,18,63,6,8.00,57,f,f,f,5126.840,48.599,,,,,48.599
9850,8,14,7,6.00,57,f,f,f,5132.286,54.045,,,,,54.045
9850,9,16,8,4.00,57,f,f,f,5135.026,56.785,,,,,56.785
9850,14,30,9,2.00,57,f,f,f,5138.314,60.073,,,,,60.073
9850,11,22,10,1.00,57,f,f,f,5140.011,61.770,,,,,61.77
9850,12,23,11,0.00,57,f,f,f,5145.172,66.931,,,,,66.931
9850,16,44,12,0.00,57,f,f,f,5155.971,77.730,,,,,77.73
9850,3,5,13,0.00,57,f,f,f,5163.053,84.812,,,,,84.812
9850,29,43,14,0.00,56,f,f,f,,,1,,,,+1 LAP
9850,15,31,15,0.00,56,f,f,f,,,1,,,,+1 LAP
9850,6,10,16,0.00,56,f,f,f,,,1,,,,+1 LAP
9850,10,18,17,0.00,55,t,f,f,,,,,,,
9850,4,6,18,0.00,55,t,f,f,,,,,,,
9850,20,87,,0.00,41,t,f,f,,,,,,,
9850,13,27,,0.00,6,t,f,f,,,,,,,
9851,9,16,1,0.00,29,f,f,f,94.802,0.000,,,,,0
9851,12,23,2,0.00,23,f,f,f,94.968,0.166,,,,,0.166
9851,11,22,3,0.00,27,f,f,f,95.071,0.269,,,,,0.269
9851,1,1,4,0.00,24,f,f,f,95.109,0.307,,,,,0.307
9851,17,55,5,0.00,31,f,f,f,95.179,0.377,,,,,0.377
9851,2,4,6,0.00,25,f,f,f,95.258,0.456,,,,,0.456
9851,4,6,7,0.00,30,f,f,f,95.299,0.497,,,,,0.497
9851,19,81,8,0.00,27,f,f,f,95.450,0.648,,,,,0.648
9851,18,63,9,0.00,25,f,f,f,95.534,0.732,,,,,0.732
9851,7,12,10,0.00,30,f,f,f,95.538,0.736,,,,,0.736
9851,16,44,11,0.00,26,f,f,f,95.561,0.759,,,,,0.759
9851,6,10,12,0.00,26,f,f,f,95.589,0.787,,,,,0.787
9851,14,30,13,0.00,28,f,f,f,95.709,0.907,,,,,0.907
9851,8,14,14,0.00,23,f,f,f,95.746,0.944,,,,,0.944
9851,10,18,15,0.00,25,f,f,f,95.894,1.092,,,,,1.092
9851,20,87,16,0.00,28,f,f,f,95.990,1.188,,,,,1.188
9851,15,31,17,0.00,30,f,f,f,96.123,1.321,,,,,1.321
9851,13,27,18,0.00,25,f,f,f,96.170,1.368,,,,,1.368
9851,3,5,19,0.00,25,f,f,f,96.398,1.596,,,,,1.596
9851,29,43,20,0.00,28,f,f,f,96.758,1.956,,,,,1.956
9852,2,4,1,0.00,13,f,f,f,93.602,0.000,,,,,0
9852,7,12,2,0.00,18,f,f,f,93.631,0.029,,,,,0.029
9852,9,16,3,0.00,16,f,f,f,93.763,0.161,,,,,0.161
9852,13,27,4,0.00,14,f,f,f,93.879,0.277,,,,,0.277
9852,4,6,5,0.00,16,f,f,f,93.893,0.291,,,,,0.291
9852,14,30,6,0.00,16,f,f,f,93.901,0.299,,,,,0.299
