session_key,driver_number,driver_id,team_id
9892,87,20,10
9896,1,1,1
9896,4,2,2
9896,5,3,3
9896,6,4,4
9896,10,6,5
9896,12,7,6
9896,14,8,7
9896,16,9,8
9896,18,10,7
9896,22,11,1
9896,23,12,9
9896,27,13,3
9896,30,14,4
9896,31,15,10
9896,43,29,5
9896,44,16,8
9896,55,17,9
9896,63,18,6
9896,81,19,2
9896,87,20,10
9897,1,1,1
9897,4,2,2
9897,5,3,3
9897,6,4,4
9897,10,6,5
9897,12,7,6
9897,14,8,7
9897,16,9,8
9897,18,10,7
9897,22,11,1
9897,23,12,9
9897,27,13,3
9897,30,14,4
9897,31,15,10
9897,43,29,5
9897,44,16,8
9897,55,17,9
9897,63,18,6
9897,81,19,2
9897,87,20,10
9898,1,1,1
9898,4,2,2
9898,5,3,3
9898,6,4,4
9898,10,6,5
9898,12,7,6
9898,14,8,7
9898,16,9,8
9898,18,10,7
9898,22,11,1
9898,23,12,9
9898,27,13,3
9898,30,14,4
9898,31,15,10
9898,43,29,5
9898,44,16,8
9898,55,17,9
9898,63,18,6
9898,81,19,2
9898,87,20,10
9899,1,1,1
9899,4,2,2
9899,5,3,3
9899,6,4,4
9899,10,6,5
9899,12,7,6
9899,14,8,7
9899,16,9,8
9899,18,10,7
9899,22,11,1
9899,23,12,9
9899,27,13,3
9899,30,14,4
9899,31,15,10
9899,43,29,5
9899,44,16,8
9899,55,17,9
9899,63,18,6
9899,81,19,2
9899,87,20,10
9900,1,1,1
9900,4,2,2
9900,5,3,3
9900,6,4,4
9900,10,6,5
9900,12,7,6
9900,14,8,7
9900,16,9,8
9900,18,10,7
9900,22,11,1
9900,23,12,9
9900,27,13,3
9900,30,14,4
9900,31,15,10
9900,43,29,5
9900,44,16,8
9900,55,17,9
9900,63,18,6
9900,81,19,2
9900,87,20,10
9904,1,1,1
9904,4,2,2
9904,5,3,3
9904,6,4,4
9904,10,6,5
9904,12,7,6
9904,14,8,7
9904,16,9,8
9904,18,10,7
9904,22,11,1
9904,23,12,9
9904,27,13,3
9904,30,14,4
9904,31,15,10
9904,43,29,5
9904,44,16,8
9904,55,17,9
9904,63,18,6
9904,81,19,2
9904,87,20,10
9905,1,1,1
9905,4,2,2
9905,5,3,3
9905,6,4,4
9905,10,6,5
9905,12,7,6
9905,14,8,7
9905,16,9,8
9905,18,10,7
9905,22,11,1
9905,23,12,9
9905,27,13,3
9905,30,14,4
9905,31,15,10
9905,44,16,8
9905,55,17,9
9905,61,32,5
9905,63,18,6
9905,87,20,10
9905,89,39,2
9906,1,1,1
9906,4,2,2
9906,5,3,3
9906,6,4,4
9906,10,6,5
9906,12,7,6
9906,14,8,7
9906,16,9,8
9906,18,10,7
9906,22,11,1
9906,23,12,9
9906,27,13,3
9906,30,14,4
9906,31,15,10
9906,43,29,5
9906,44,16,8
9906,55,17,9
9906,63,18,6
9906,81,19,2
9906,87,20,10
9907,1,1,1
9907,4,2,2
9907,5,3,3
9907,6,4,4
9907,10,6,5
9907,12,7,6
9907,14,8,7
9907,16,9,8
9907,18,10,7
9907,22,11,1
9907,23,12,9
9907,27,13,3
9907,30,14,4
9907,31,15,10
9907,43,29,5
9907,44,16,8
9907,55,17,9
9907,63,18,6
9907,81,19,2
9907,87,20,10
9908,1,1,1
9908,4,2,2
9908,5,3,3
9908,6,4,4
